drug,target,fusion_label,fusion_conf,fusion_rule,fusion_reason,ml_label,kg_label,rag_label,enabled_agents,config,reasoning_effort,summary_reasoning,reasoning_alignment,token_usage,fusion_sources,input_payload
Topotecan,TOP1,Moderate,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applied: all three sources are present (ML, KG, RAG). Two of the three present sources (ML=Moderate with DeepPurpose predicted pKd=6.901; RAG=Moderate with only functional/co-mention evidence and no explicit Kd/Ki/IC50) agree on ""Moderate"", so the fused label is ""Moderate"" with HIGH confidence. KG alone supports ""Strong"" via a curated DrugBank direct edge (kg_direct=true; confidence 0.93) and a TOP1-poisoning mechanism, but this does not override the majority under the rules. Note: the biochemical tie-break (Rule 3a) is not invoked because there is already a majority; additionally, its pKd threshold for Strong is pKd <= 7, and ML pKd=6.901 meets that numeric condition but still cannot override Rule 2.",Moderate,Strong,Moderate,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML and KG converge on an interaction, while RAG supports a functional/cellular association but lacks explicit biochemical binding/affinity evidence in the retrieved excerpts. The strongest support is the KG’s direct curated drug–target assertion with a well-defined TOP1 poisoning mechanism (conceptually consistent with cellular TOP1-associated damage readouts). The key uncertainty is whether primary biochemical or direct target-engagement data (e.g., purified TOP1 cleavage/relaxation assays or TOP1cc detection with on-target dependence) are present in the literature beyond the retrieved snippets; an alternative explanation for the RAG association is that observed effects arise from general replication stress/DNA damage signaling or combination-treatment context rather than uniquely confirming TOP1 binding by Topotecan.",,"{""prompt_tokens"": 15137, ""completion_tokens"": 628, ""total_tokens"": 15765, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1396, ""completion_tokens"": 303, ""total_tokens"": 1699}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 13741, ""completion_tokens"": 325, ""total_tokens"": 14066}}}","ML,KG,RAG",output/input_payloads/Topotecan__TOP1.json
Topotecan,TOP2A,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources): KG and RAG are both present and label the Topotecan–TOP2A interaction as Low/Weak, while ML is present but labels it Moderate. KG explicitly reports no direct Topotecan–TOP2A edge (kg_direct=false) and characterizes the connection as indirect via TOP1/hub intermediates; RAG reports no direct DTI evidence and no co-mention of Topotecan and TOP2A in retrieved PMC content. Therefore the fused label is Low with HIGH confidence.",Moderate,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML suggests a moderate likelihood of interaction, while KG and RAG both converge on weak/absent support for a direct Topotecan–TOP2A interaction and instead imply at most an indirect functional association. The strongest support is the ML-predicted pKd (computational, not experimental), whereas the strongest biological-level evidence available from KG/RAG is indirect (cellular/phenotypic DNA-damage pathway linkage via TOP1 rather than biochemical TOP2A engagement). The key uncertainty is the lack of direct biochemical or cellular target-engagement data for TOP2A (e.g., TOP2A catalytic inhibition/poisoning assays or CETSA/chemoproteomics), and a plausible alternative explanation is that TOP2A dependence changes secondarily under TOP1 poisoning–induced replication stress rather than Topotecan binding TOP2A.",,"{""prompt_tokens"": 64750, ""completion_tokens"": 646, ""total_tokens"": 65396, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1921, ""completion_tokens"": 346, ""total_tokens"": 2267}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 62829, ""completion_tokens"": 300, ""total_tokens"": 63129}}}","ML,KG,RAG",output/input_payloads/Topotecan__TOP2A.json
Irinotecan,BRCA1,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources): all three sources are present (ML, KG, RAG). KG=Low (indirect-only, kg_direct=false) and RAG=Low (no co-mention/direct DTI evidence found) agree on Low, outvoting ML=Moderate (DeepPurpose predicted pKd=6.867). Therefore the fused label is Low with HIGH confidence. Note: the biochemical tie-break (Rule 3a) does not apply because kg_direct is false; Rule 3b does not apply because RAG contains no explicit binding assay/KD/Ki for Irinotecan–BRCA1.",Moderate,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML predicts a moderate likelihood of direct interaction, whereas KG and RAG converge on weak/indirect or absent support for a direct Irinotecan–BRCA1 interaction. The strongest biologically grounded support is indirect at the cellular pathway level: irinotecan/SN-38 TOP1 poisoning can generate DNA lesions that plausibly engage BRCA1-dependent DNA damage response/repair programs, but this does not imply direct binding. The key uncertainty is whether BRCA1 is functionally required for irinotecan response in relevant models (alternative explanation: observed associations could reflect general replication stress/DDR activation downstream of TOP1 inhibition rather than any specific BRCA1 modulation or engagement).",,"{""prompt_tokens"": 37109, ""completion_tokens"": 703, ""total_tokens"": 37812, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 2024, ""completion_tokens"": 411, ""total_tokens"": 2435}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 35085, ""completion_tokens"": 292, ""total_tokens"": 35377}}}","ML,KG,RAG",output/input_payloads/Irinotecan__BRCA1.json
Topotecan,BRCA1,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applies: all three sources are present (ML, KG, RAG). KG=Low/Weak and RAG=Low/Weak both indicate no direct Topotecan→BRCA1 binding/engagement evidence (KG explicitly has kg_direct=false and describes only an indirect DNA-damage/repair association; RAG reports no same-PMCID co-mention and no binding/affinity or target-engagement measurements). With 2 of 3 present sources agreeing on Low, the fused label is Low with HIGH confidence. ML predicts pKd=6.050 (Moderate), but this is in silico only and is outweighed by the two evidence-based sources lacking direct interaction support.",Moderate,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML suggests a moderate predicted interaction, while KG and RAG converge on weak/absent support for direct binding and instead point toward an indirect functional relationship (cellular DNA damage response/repair) at best. The strongest biologically grounded support is KG-level mechanistic reasoning at the pathway/cellular level (Topotecan TOP1 poisoning leading to lesions typically handled by BRCA1-mediated repair), but it does not constitute biochemical target engagement. The key uncertainty is whether any true direct Topotecan–BRCA1 binding exists versus the association being explained by BRCA1-dependent sensitivity/repair phenotypes downstream of TOP1-mediated DNA damage (alternative explanation: BRCA1 status modulates cytotoxic response without BRCA1 being a molecular target).",,"{""prompt_tokens"": 40010, ""completion_tokens"": 686, ""total_tokens"": 40696, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1931, ""completion_tokens"": 382, ""total_tokens"": 2313}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 38079, ""completion_tokens"": 304, ""total_tokens"": 38383}}}","ML,KG,RAG",output/input_payloads/Topotecan__BRCA1.json
Olaparib,BRCA1,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applied: KG=Low (kg_direct=false; indirect-only paths via PARP1/copper) and RAG=Low (direct_dti_in_same_pmcid=false; only functional co-mentions where BRCA1 status modulates olaparib response) agree on Low, outvoting ML=Strong (DeepPurpose predicted pKd=7.026). No tie-break needed because a 2/3 majority exists; additionally, Rule 3a would not upgrade because KG does not report a direct 1-hop edge (kg_direct=false).",Strong,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML predicts strong direct binding, whereas KG and RAG converge on an indirect/functional association with no direct BRCA1 target-engagement evidence. The strongest support at the biological evidence level is cellular phenotype (RAG) showing BRCA1 mutation/depletion alters olaparib sensitivity, consistent with PARP inhibition synthetic lethality rather than BRCA1 being a bound target. The key uncertainty is whether any biochemical or cellular binding/engagement data exist for Olaparib–BRCA1 that were not captured here; an alternative explanation for the association is that BRCA1 deficiency changes homologous recombination capacity and thereby determines sensitivity to PARP inhibition without requiring olaparib to bind BRCA1.",,"{""prompt_tokens"": 37074, ""completion_tokens"": 651, ""total_tokens"": 37725, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 2109, ""completion_tokens"": 379, ""total_tokens"": 2488}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 34965, ""completion_tokens"": 272, ""total_tokens"": 35237}}}","ML,KG,RAG",output/input_payloads/Olaparib__BRCA1.json
Topotecan,CYP3A5,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applies: all three sources are present (ML, KG, RAG). KG label is Weak/Low (kg_direct=false; only indirect hub-mediated paths) and RAG label is Weak/Low (no co-mention and no binding/enzymatic inhibition/target-engagement measurements found). With KG=Low and RAG=Low, two of three present sources agree on Low, so the fused label is Low with HIGH confidence. ML predicts pKd=6.049 (Moderate), but this does not override the majority and is not corroborated by a direct KG edge or literature assay evidence.",Moderate,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML suggests a moderate potential for direct binding, whereas KG and RAG converge on weak/unsupported evidence and emphasize indirect or absent links rather than biochemical target engagement. The strongest support is the ML-predicted affinity signal (computational, biochemical-level hypothesis), but it is not corroborated by direct KG edges or literature evidence of CYP3A5 binding/inhibition or expression/activity changes. The key uncertainty is whether Topotecan truly binds or functionally modulates CYP3A5 in biochemical/cellular assays; an alternative explanation for any apparent association is indirect regulation of CYP3A5 transcription via stress/signaling pathways downstream of TOP1 inhibition (or hub-driven KG connectivity) rather than direct CYP3A5 interaction.",,"{""prompt_tokens"": 45178, ""completion_tokens"": 675, ""total_tokens"": 45853, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 2242, ""completion_tokens"": 363, ""total_tokens"": 2605}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 42936, ""completion_tokens"": 312, ""total_tokens"": 43248}}}","ML,KG,RAG",output/input_payloads/Topotecan__CYP3A5.json
Topotecan,TOP1MT,Strong,MEDIUM,LLM,"Rule 3a (biochemical tie-break) applied because there is no majority vote among PRESENT sources (ML=Moderate, KG=Strong, RAG=Low). KG reports a direct 1-hop edge (kg_direct=true) and ML provides quantitative support with predicted pKd=6.414 (threshold stated in rule: pKd <= 7), so we select Strong. Confidence is MEDIUM because RAG did not retrieve any direct co-mention or binding/target-engagement measurements for Topotecan–TOP1MT (RAG label Weak/Low; no assay/KD/Ki values), and evidence_flags indicate KG is not in a high-confidence mode (kg_high_conf_active=false).",Moderate,Strong,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML and KG support a potential interaction (with KG claiming a direct poisoning mechanism), while RAG does not corroborate this with explicit literature evidence, indicating divergence and overall uncertainty about direct binding. The strongest support is the KG's purported direct DrugBank edge (biochemical-mechanism framing), but it is not accompanied here by primary biochemical or cellular TOP1MT-specific target-engagement data. The key gap is lack of direct TOP1MT-focused evidence (e.g., TOP1MT–mtDNA cleavage-complex stabilization assays or TOP1MT-dependent mitochondrial DNA damage phenotypes); an alternative explanation for observed Topotecan effects is that they arise primarily from nuclear TOP1 inhibition and downstream DNA damage responses rather than mitochondrial TOP1MT engagement.",,"{""prompt_tokens"": 63856, ""completion_tokens"": 623, ""total_tokens"": 64479, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1397, ""completion_tokens"": 311, ""total_tokens"": 1708}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 62459, ""completion_tokens"": 312, ""total_tokens"": 62771}}}","ML,KG,RAG",output/input_payloads/Topotecan__TOP1MT.json
Irinotecan,TOP1MT,Strong,MEDIUM,LLM,"Rule 1: all enabled sources (ML, KG, RAG) are PRESENT. Rule 2 (majority vote) does not apply because the three present sources disagree (ML=Strong, KG=Moderate, RAG=Low). Rule 3a (biochemical tie-break) applies: KG reports a direct 1-hop edge (kg_direct=true) and ML provides quantitative affinity with predicted pKd=7.138 (threshold stated in rule: pKd <= 7 OR ML label Strong). Because KG is direct and ML is Strong with pKd ~7.1, we select Strong. Confidence is MEDIUM because RAG did not retrieve any explicit TOP1MT co-mention or binding assay/KD/Ki/IC50 for the pair, and KG notes potential failure modes (""indirect_only"", ""non_specific"").",Strong,Moderate,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML and KG converge on a plausible irinotecan–TOP1MT interaction, while RAG does not corroborate it with explicit literature-based target engagement, creating a divergence between predictive/graph evidence and retrieved primary evidence. The strongest support is the ML quantitative affinity prediction (pKd ~7.1) plus a KG direct edge suggesting a curated relationship, but both are not themselves biochemical confirmation. The key uncertainty is whether irinotecan (or SN-38) directly inhibits TOP1MT at the biochemical/cellular level versus the association being explained by canonical TOP1 targeting or broader DNA damage/mitochondrial stress effects unrelated to specific TOP1MT engagement.",,"{""prompt_tokens"": 58579, ""completion_tokens"": 660, ""total_tokens"": 59239, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1430, ""completion_tokens"": 322, ""total_tokens"": 1752}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 57149, ""completion_tokens"": 338, ""total_tokens"": 57487}}}","ML,KG,RAG",output/input_payloads/Irinotecan__TOP1MT.json
Camptothecin,TOP1MT,Moderate,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applies: all three sources are present (ML, KG, RAG). ML label=Moderate (DeepPurpose predicted pKd=6.486), KG label=Moderate (kg_direct=false; class/mechanism-based inference via TOP1 and camptothecin-class drugs), and RAG label=Low/Weak (no direct experimental drug–TOP1MT evidence quotes found). With two sources (ML+KG) agreeing on Moderate, the fused label is Moderate with HIGH confidence per the rule, while noting RAG’s lack of direct assay support as the main uncertainty.",Moderate,Moderate,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML and KG converge on a moderate, biologically plausible hypothesis of interaction, while RAG does not find direct experimental support and therefore diverges toward insufficient evidence. The strongest support is mechanistic/class-level reasoning (TOP1 poisoning by camptothecin and related camptothecin-class links to TOP1MT), which is plausible at the biochemical level but remains indirect for this specific pair. The key uncertainty is whether camptothecin directly engages TOP1MT (biochemical/cellular target engagement) versus observed effects being explained by canonical nuclear TOP1 inhibition or broader DNA damage/replication stress pathways independent of TOP1MT.",,"{""prompt_tokens"": 70180, ""completion_tokens"": 658, ""total_tokens"": 70838, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 2192, ""completion_tokens"": 355, ""total_tokens"": 2547}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 67988, ""completion_tokens"": 303, ""total_tokens"": 68291}}}","ML,KG,RAG",output/input_payloads/Camptothecin__TOP1MT.json
Camptothecin,TOP2A,Weak,HIGH,LLM,"Rule 2 (majority vote among PRESENT sources) applied. All enabled sources are present (ML, KG, RAG). KG label=Low/Weak (kg_direct=false; only indirect ALB hub-mediated paths) and RAG label=Low/Weak (no co-mention and no direct DTI measurements in retrieved literature) agree on Low, outvoting ML which is Moderate (DeepPurpose predicted pKd=6.451). Therefore the fused label is Low with HIGH confidence.",Moderate,Weak,Weak,"ML,KG,RAG",ml_kg_rag,,"Across sources, ML suggests a moderate potential for direct binding, while KG and RAG converge on weak/indirect or absent support, indicating insufficient evidence for direct TOP2A binding and at most an indirect functional/phenotypic association. The strongest support is the ML pKd prediction (computational, not experimental), whereas the strongest empirical-level signal is negative/absent in the retrieved literature (no biochemical/cellular target-engagement evidence). The key uncertainty is whether Camptothecin truly affects TOP2A activity in biochemical or cellular assays; an alternative explanation for any apparent association is confounding via shared DNA-damage/replication-stress phenotypes or albumin-mediated co-transport with other TOP2A-active compounds rather than direct TOP2A engagement.",,"{""prompt_tokens"": 65084, ""completion_tokens"": 632, ""total_tokens"": 65716, ""calls"": 3, ""breakdown"": {""kg"": {""prompt_tokens"": 1833, ""completion_tokens"": 394, ""total_tokens"": 2227}, ""rag"": {""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""decision"": {""prompt_tokens"": 63251, ""completion_tokens"": 238, ""total_tokens"": 63489}}}","ML,KG,RAG",output/input_payloads/Camptothecin__TOP2A.json
